127.0.0.1, 2016-03-20 23:38:00, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000586
127.0.0.1, 2016-03-20 23:38:00, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000655
127.0.0.1, 2016-03-20 23:38:00, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.000540
127.0.0.1, 2016-03-20 23:38:00, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 304, 0.000603
127.0.0.1, 2016-03-20 23:38:00, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.001248
127.0.0.1, 2016-03-20 23:38:00, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 304, 0.000567
127.0.0.1, 2016-03-20 23:38:00, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 304, 0.000557
127.0.0.1, 2016-03-20 23:38:00, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000509
127.0.0.1, 2016-03-20 23:38:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000474
127.0.0.1, 2016-03-20 23:38:48, GET, /admin/default/errors/admin, HTTP/1.1, 200, 0.039923
127.0.0.1, 2016-03-20 23:38:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000594
127.0.0.1, 2016-03-20 23:38:51, GET, /admin/default/index, HTTP/1.1, 303, 0.008606
127.0.0.1, 2016-03-20 23:38:51, GET, /admin/default/site, HTTP/1.1, 200, 0.054444
127.0.0.1, 2016-03-20 23:38:51, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.001262
127.0.0.1, 2016-03-20 23:38:51, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000934
127.0.0.1, 2016-03-20 23:38:51, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.001627
127.0.0.1, 2016-03-20 23:38:51, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 304, 0.001270
127.0.0.1, 2016-03-20 23:38:51, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.000609
127.0.0.1, 2016-03-20 23:38:51, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.004107
127.0.0.1, 2016-03-20 23:38:51, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 304, 0.003514
127.0.0.1, 2016-03-20 23:38:51, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 304, 0.000445
127.0.0.1, 2016-03-20 23:38:51, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000463
127.0.0.1, 2016-03-20 23:38:51, GET, /admin/static/images/folder.png, HTTP/1.1, 304, 0.000637
127.0.0.1, 2016-03-20 23:38:51, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 304, 0.001676
127.0.0.1, 2016-03-20 23:38:51, GET, /admin/static/images/small_special_button.png, HTTP/1.1, 304, 0.000716
127.0.0.1, 2016-03-20 23:38:51, GET, /admin/static/images/sidebar_background.jpg, HTTP/1.1, 304, 0.000352
127.0.0.1, 2016-03-20 23:38:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000588
127.0.0.1, 2016-03-20 23:38:55, GET, /admin/default/site, HTTP/1.1, 200, 0.045124
127.0.0.1, 2016-03-20 23:38:55, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.001115
127.0.0.1, 2016-03-20 23:38:55, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000564
127.0.0.1, 2016-03-20 23:38:55, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000573
127.0.0.1, 2016-03-20 23:38:55, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.000517
127.0.0.1, 2016-03-20 23:38:55, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 304, 0.000594
127.0.0.1, 2016-03-20 23:38:55, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 304, 0.000593
127.0.0.1, 2016-03-20 23:38:55, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.001460
127.0.0.1, 2016-03-20 23:38:55, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.001002
127.0.0.1, 2016-03-20 23:38:55, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 304, 0.001624
127.0.0.1, 2016-03-20 23:38:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000569
127.0.0.1, 2016-03-20 23:38:58, GET, /admin/default/twitter.load, HTTP/1.1, 200, 6.287241
127.0.0.1, 2016-03-20 23:39:02, GET, /admin/default/twitter.load, HTTP/1.1, 200, 6.397579
127.0.0.1, 2016-03-20 23:39:07, GET, /admin/default/about/examples, HTTP/1.1, 500, 0.372716
127.0.0.1, 2016-03-20 23:39:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000593
127.0.0.1, 2016-03-20 23:39:10, GET, /admin/default/ticket/admin/127.0.0.1.2016-03-20.23-39-06.787cbe63-df4d-4518-b02e-ce0bba05a67d, HTTP/1.1, 200, 0.330719
127.0.0.1, 2016-03-20 23:39:10, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.001477
127.0.0.1, 2016-03-20 23:39:10, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000695
127.0.0.1, 2016-03-20 23:39:10, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000546
127.0.0.1, 2016-03-20 23:39:10, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.000507
127.0.0.1, 2016-03-20 23:39:10, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 304, 0.000438
127.0.0.1, 2016-03-20 23:39:10, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 304, 0.001161
127.0.0.1, 2016-03-20 23:39:10, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 304, 0.000609
127.0.0.1, 2016-03-20 23:39:10, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.001334
127.0.0.1, 2016-03-20 23:39:10, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.002239
127.0.0.1, 2016-03-20 23:39:11, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000651
127.0.0.1, 2016-03-20 23:39:11, GET, /admin/static/images/ticket_section.png, HTTP/1.1, 200, 0.001120
127.0.0.1, 2016-03-20 23:39:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000538
127.0.0.1, 2016-03-20 23:40:24, GET, /admin/default/index, HTTP/1.1, 303, 0.009504
127.0.0.1, 2016-03-20 23:40:24, GET, /admin/default/site, HTTP/1.1, 200, 0.061612
127.0.0.1, 2016-03-20 23:40:24, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 304, 0.000397
127.0.0.1, 2016-03-20 23:40:24, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.000299
127.0.0.1, 2016-03-20 23:40:24, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 304, 0.002790
127.0.0.1, 2016-03-20 23:40:24, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.003892
127.0.0.1, 2016-03-20 23:40:24, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.003384
127.0.0.1, 2016-03-20 23:40:24, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000701
127.0.0.1, 2016-03-20 23:40:24, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 304, 0.000523
127.0.0.1, 2016-03-20 23:40:24, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.000617
127.0.0.1, 2016-03-20 23:40:24, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000835
127.0.0.1, 2016-03-20 23:40:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000480
127.0.0.1, 2016-03-20 23:40:26, GET, /admin/default/twitter.load, HTTP/1.1, 200, 1.529244
127.0.0.1, 2016-03-20 23:40:34, GET, /admin/default/index, HTTP/1.1, 303, 0.008237
127.0.0.1, 2016-03-20 23:40:34, GET, /admin/default/site, HTTP/1.1, 200, 0.037428
127.0.0.1, 2016-03-20 23:40:34, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000578
127.0.0.1, 2016-03-20 23:40:34, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000520
127.0.0.1, 2016-03-20 23:40:34, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.000498
127.0.0.1, 2016-03-20 23:40:34, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 304, 0.000366
127.0.0.1, 2016-03-20 23:40:34, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 304, 0.001016
127.0.0.1, 2016-03-20 23:40:34, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 304, 0.000877
127.0.0.1, 2016-03-20 23:40:34, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000432
127.0.0.1, 2016-03-20 23:40:34, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000508
127.0.0.1, 2016-03-20 23:40:34, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.001524
127.0.0.1, 2016-03-20 23:40:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000472
